org_ary: 0,1,2,3,4,5,6,7,8,9
result_ary: 7,6,2,1,0,4,3,8,9,5

01‰ñ–Ú result_ary: 6,7,9,1,8,5,4,0,3,2
02‰ñ–Ú result_ary: 7,5,1,8,4,2,0,6,3,9
03‰ñ–Ú result_ary: 7,6,2,9,0,1,8,4,3,5
04‰ñ–Ú result_ary: 2,0,6,5,3,1,4,7,8,9
05‰ñ–Ú result_ary: 3,7,8,2,9,0,6,4,1,5
06‰ñ–Ú result_ary: 9,3,6,4,5,1,8,7,0,2
07‰ñ–Ú result_ary: 2,3,4,7,1,8,5,6,0,9
08‰ñ–Ú result_ary: 1,9,3,7,2,5,0,8,4,6
09‰ñ–Ú result_ary: 5,8,1,9,3,6,7,4,0,2
10‰ñ–Ú result_ary: 8,1,2,5,7,9,6,4,3,0
11‰ñ–Ú result_ary: 5,1,2,9,8,6,3,7,0,4
12‰ñ–Ú result_ary: 4,2,9,0,6,1,7,5,3,8
13‰ñ–Ú result_ary: 2,0,5,4,1,7,8,9,3,6
14‰ñ–Ú result_ary: 9,1,6,5,4,7,2,3,0,8
15‰ñ–Ú result_ary: 3,8,9,0,5,7,4,6,2,1
16‰ñ–Ú result_ary: 7,6,9,2,0,3,5,8,1,4
17‰ñ–Ú result_ary: 2,5,7,8,9,4,3,1,0,6
18‰ñ–Ú result_ary: 3,0,6,5,1,2,7,8,9,4
19‰ñ–Ú result_ary: 0,4,6,2,8,7,3,5,9,1
20‰ñ–Ú result_ary: 0,7,8,1,9,2,3,4,5,6
